Pair,Handle,Title,Category,GMC Impressions (28d),GMC Clicks (28d),Shopify Sales (30d),Group,Tier
2,dafni-klix-the-bow-rose-gold,DAFNI KLIX - THE BOW - Rose Gold,Bows,10922,145,15001.07,Control,Credible
2,dafni-klix-the-bow-black,DAFNI KLIX - THE BOW - Black,Bows,6969,191,18257.10,Test,Credible
3,dafni-klix-the-chunky-bow-lavender,DAFNI KLIX - THE CHUNKY BOW -Lavender,Chunky Bows,589,4,3081.86,Test,Directional only
3,dafni-klix-the-chunky-bow-pearl-white,DAFNI KLIX - THE CHUNKY BOW - Pearl White,Chunky Bows,207,0,2200.81,Control,Directional only
4,ready-to-go,Ready to go,Hair Care Kits,95,1,0.00,Test,Directional only
4,the-urban-edit,The Urban Edit,Hair Care Kits,35,0,0.00,Control,Directional only
1,dafni-klix-the-minimalist-black,DAFNI KLIX - the minimalist - Black,Klix Minimalist Singles,3561,22,2437.67,Control,Gold standard
1,the-minimalist-black-dafni-klix,DAFNI KLIX - the minimalist - Amber,Klix Minimalist Singles,3552,25,2420.15,Test,Gold standard
