title	id	price	sale price	condition	availability	channel	feed label	language	additional image link	all clicks	brand	color	description	google product category	image link	item group id	link	merchant item id	modification info(modification source:modifier)	product detail(attribute name:attribute value:section name)	product type	purchasable without shipping	rating average	rating count	sell on google quantity	shipping(country)	shipping weight	size	sku
Knots Studio Gift Card $900.00	shopify_US_7900041969819_44732986458267	900.00 USD			in stock	Online	US	en		0	Knots Studio		"Our Knots gift card is the perfect solution for when you're unsure of what to gift! Not sure what to get someone special? Give them the freedom to choose with a Knots gift card. It's an effortless way to ensure they receive exactly what they want. Upon purchase, the gift card is conveniently delivered via email and comes with simple instructions for redemption at checkout."		https://cdn.shopify.com/s/files/1/1129/5340/files/aKnotsgiftcardforyou_4.png?v=1765894025	shopify_US_7900041969819	https://www.knots-studio.com/products/knots-studio-gift-card?variant=44732986458267&country=US&currency=USD&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic	gid://shopify/ProductVariant/44732986458267	third party shopify:third party syncing	gift card amount:$900.00:Variant		true					0 kg		
(L) Truffle Knot Ottoman	shopify_US_8483252895899_46361315606683	698.00 USD	625.00 USD		in stock	Online	US	en	https://cdn.shopify.com/s/files/1/1129/5340/files/CFCE0ED8-B660-45FA-9EE8-496AC9FACD2A.jpg?v=1754770043,https://cdn.shopify.com/s/files/1/1129/5340/files/LARGE_LIVINGROOM_BROWN.jpg?v=1754770043,https://cdn.shopify.com/s/files/1/1129/5340/files/trufflel.jpg?v=1754770043,https://cdn.shopify.com/s/files/1/1129/5340/files/truf3.jpg?v=1754770043,https://cdn.shopify.com/s/files/1/1129/5340/files/64AC937E-A98B-4783-A576-D4258DDBF673.png?v=1754770044	0	knots studio		This unique Knot cushion is inspired by nautical elements and aesthetics. The cushion utilizes a unique tying technique that makes the cushion beautiful and fun	home & garden > decor > ottoman cushions	https://cdn.shopify.com/s/files/1/1129/5340/files/traf2.jpg?v=1746875658		https://www.knots-studio.com/products/l-truffle-knot-floor-cushion-new?variant=46361315606683&country=US&currency=USD&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic	gid://shopify/ProductVariant/46361315606683	third party shopify:third party syncing		Large knot cushion				5		8 kg		10030Trf
(L) Hull Basket in Graphite Ultra suede	shopify_US_8502535520411_46613169438875	275.00 USD	234.00 USD		in stock	Online	USD_649363611	en	https://cdn.shopify.com/s/files/1/1129/5340/files/Screenshot_2025-07-14_at_11.37.07.png?v=1757400395	0	knots studio		"Transform your space with our handcrafted storage baskets that bring sophisticated organization to your bedroom, living room, or entryway. Each basket is meticulously crafted by hand, creating a unique accent piece that serves both functional and aesthetic purposes. Perfect for shelves or floor placement, these versatile baskets elevate your home's style while keeping your space beautifully organized."	home & garden > decor > baskets	https://cdn.shopify.com/s/files/1/1129/5340/files/mgrey_1903166f-2a6a-4619-8d33-118329c5d5dd.jpg?v=1755072318		https://www.knots-studio.com/products/l-hull-basket-in-graphite-ultra-suede-copy?variant=46613169438875&country=AE&currency=USD&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic	gid://shopify/ProductVariant/46613169438875	third party shopify:third party syncing						8		1.5 kg		30030grf
Knots Studio Gift Card $550.00	shopify_US_7900041969819_44732986261659	550.00 USD			in stock	Online	USD_649363611	en		0	Knots Studio		"Our Knots gift card is the perfect solution for when you're unsure of what to gift! Not sure what to get someone special? Give them the freedom to choose with a Knots gift card. It's an effortless way to ensure they receive exactly what they want. Upon purchase, the gift card is conveniently delivered via email and comes with simple instructions for redemption at checkout."		https://cdn.shopify.com/s/files/1/1129/5340/files/aKnotsgiftcardforyou_4.png?v=1765894025	shopify_US_7900041969819	https://www.knots-studio.com/products/knots-studio-gift-card?variant=44732986261659&country=AE&currency=USD&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic	gid://shopify/ProductVariant/44732986261659	third party shopify:third party syncing	gift card amount:$550.00:Variant		true					0 kg		
Knots Studio Gift Card $750.00	shopify_US_7900041969819_44248224596123	750.00 USD			in stock	Online	USD_649363611	en		0	Knots Studio		"Our Knots gift card is the perfect solution for when you're unsure of what to gift! Not sure what to get someone special? Give them the freedom to choose with a Knots gift card. It's an effortless way to ensure they receive exactly what they want. Upon purchase, the gift card is conveniently delivered via email and comes with simple instructions for redemption at checkout."		https://cdn.shopify.com/s/files/1/1129/5340/files/aKnotsgiftcardforyou_4.png?v=1765894025	shopify_US_7900041969819	https://www.knots-studio.com/products/knots-studio-gift-card?variant=44248224596123&country=AE&currency=USD&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic	gid://shopify/ProductVariant/44248224596123	third party shopify:third party syncing	gift card amount:$750.00:Variant		true					0 kg		
Set Of 3 Baskets- Stone	shopify_US_8913576231067_48047273607323	545.00 USD	495.00 USD		out of stock	Online	US	en		13	Knots Studio		"Transform your space with our handcrafted storage baskets that bring sophisticated organization to your bedroom, living room, or entryway. Each basket is meticulously crafted by hand, creating a unique accent piece that serves both functional and aesthetic purposes. Perfect for shelves or floor placement, these versatile baskets elevate your home's style while keeping your space beautifully organized."	home & garden > decor > baskets	https://cdn.shopify.com/s/files/1/1129/5340/files/Neta_tesler_A_lifestyle_product_photography_scene_featuring_the_exact_same_se_04900bf2-d7e5-4eda-a62e-ccf1163a7935_1.jpg?v=1773167008		https://www.knots-studio.com/products/set-of-3-baskets-graphite-copy?variant=48047273607323&country=US&currency=USD&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic	gid://shopify/ProductVariant/48047273607323	third party shopify:third party syncing		Set of 3 Baskets				0		3 kg		30060stn
Knots Placemats- Set of 6 Sunset colors	shopify_US_8437155332251_46184572747931	165.00 USD			out of stock	Online	USD_649363611	en	https://cdn.shopify.com/s/files/1/1129/5340/files/placematsredcollection.jpg?v=1742561779,https://cdn.shopify.com/s/files/1/1129/5340/files/2blueclosup.jpg?v=1742561779,https://cdn.shopify.com/s/files/1/1129/5340/files/blueclose_up1.jpg?v=1742561779,https://cdn.shopify.com/s/files/1/1129/5340/files/redclose_up4.jpg?v=1742561779,https://cdn.shopify.com/s/files/1/1129/5340/files/redclose_up3.jpg?v=1742561779,https://cdn.shopify.com/s/files/1/1129/5340/files/redcloseup1.jpg?v=1742561779,https://cdn.shopify.com/s/files/1/1129/5340/files/redclose_up7_ed3e4d37-7731-4b9c-a768-03b91b300b8b.jpg?v=1742561779,https://cdn.shopify.com/s/files/1/1129/5340/files/redclose_up6.jpg?v=1742561779,https://cdn.shopify.com/s/files/1/1129/5340/files/redclose_up5.jpg?v=1742561779,https://cdn.shopify.com/s/files/1/1129/5340/files/blueclose_up3_8ac6b0d3-9c47-41e3-b208-6034977d28b6.jpg?v=1742561779,https://cdn.shopify.com/s/files/1/1129/5340/files/blueclose_up5.jpg?v=1742561779,https://cdn.shopify.com/s/files/1/1129/5340/files/redclose_up2.jpg?v=1742561779	0	Knots Studio	Sunset colors	"Elevate your holiday table with our set of six artisanal placemats. Inspired by traditional weaving techniques yet stunningly modern, these conversation-starting placemats will captivate your guests with their sophisticated patterns.
Available in two striking color palettes:
Sunset Collection: Warm, vibrant tones creat"	home & garden > linens & bedding > table linens > placemats	https://cdn.shopify.com/s/files/1/1129/5340/files/closeup_red.jpg?v=1742561779	shopify_US_8437155332251	https://www.knots-studio.com/products/knots-placemats-set-of-6?variant=46184572747931&country=AE&currency=USD&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic	gid://shopify/ProductVariant/46184572747931	third party shopify:third party syncing	color:Sunset colors:Variant	textile goods				0		0.3 kg		
Knots Studio Gift Card $850.00	shopify_US_7900041969819_44732986425499	850.00 USD			in stock	Online	US	en		0	Knots Studio		"Our Knots gift card is the perfect solution for when you're unsure of what to gift! Not sure what to get someone special? Give them the freedom to choose with a Knots gift card. It's an effortless way to ensure they receive exactly what they want. Upon purchase, the gift card is conveniently delivered via email and comes with simple instructions for redemption at checkout."		https://cdn.shopify.com/s/files/1/1129/5340/files/aKnotsgiftcardforyou_4.png?v=1765894025	shopify_US_7900041969819	https://www.knots-studio.com/products/knots-studio-gift-card?variant=44732986425499&country=US&currency=USD&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic	gid://shopify/ProductVariant/44732986425499	third party shopify:third party syncing	gift card amount:$850.00:Variant		true					0 kg		
"Knots Studio Gift Card $1,000.00"	shopify_US_7900041969819_44248224628891	1000.00 USD			in stock	Online	USD_649363611	en		0	Knots Studio		"Our Knots gift card is the perfect solution for when you're unsure of what to gift! Not sure what to get someone special? Give them the freedom to choose with a Knots gift card. It's an effortless way to ensure they receive exactly what they want. Upon purchase, the gift card is conveniently delivered via email and comes with simple instructions for redemption at checkout."		https://cdn.shopify.com/s/files/1/1129/5340/files/aKnotsgiftcardforyou_4.png?v=1765894025	shopify_US_7900041969819	https://www.knots-studio.com/products/knots-studio-gift-card?variant=44248224628891&country=AE&currency=USD&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic	gid://shopify/ProductVariant/44248224628891	third party shopify:third party syncing	gift card amount:"$1,000.00":Variant		true					0 kg		
Printed Throw pillows- Oceane Colors	shopify_US_8742120521883_47452909895835	72.50 USD			out of stock	Online	USD_649363611	en	https://cdn.shopify.com/s/files/1/1129/5340/files/UntitledSession292445_SMALL_19908957-ea2b-4e73-85ca-28704e307418.jpg?v=1762434636,https://cdn.shopify.com/s/files/1/1129/5340/files/UntitledSession292444_SMALL_58b3156b-c95c-498e-801b-f7800e37256e.jpg?v=1762434636,https://cdn.shopify.com/s/files/1/1129/5340/files/lifestyle-shot-ae471ced-1fee-4978-b1ef-312db5a2dd83.jpg?v=1762434636,https://cdn.shopify.com/s/files/1/1129/5340/files/lifestyle-shot-e4e67cfb-097b-4081-9ef6-0067550b095c.jpg?v=1762434637	0	Knots Studio		"Inspired by classic tablecloths, the Knot prints blend the aesthetics of weaving and knotting with traditional tablecloth designs. The result is vibrant, two-sided prints that make a bold statement in any space."	home & garden > decor > throw pillows	https://cdn.shopify.com/s/files/1/1129/5340/files/lifestyle-shot-758f87d4-061a-493a-b34b-917c8dda9ee2.jpg?v=1762434623		https://www.knots-studio.com/products/printed-throw-pillows-oceane-colors?variant=47452909895835&country=AE&currency=USD&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic	gid://shopify/ProductVariant/47452909895835	third party shopify:third party syncing		pill				0		0.3 kg		
