Name: Performance
"Time period: Mar 4, 2026 - Mar 31, 2026"
"Filters: Traffic = Organic, Ads"
Title,Impressions,Clicks,CTR,Purchases,Purchase rate
Printed Throw pillows- Oceane Colors,0,0,0,0,0
Sailor's Buoy in Pink,0,0,0,0,0
Set Of 3 Baskets- Cobalt Blue,263,0,0,0,0
Set Of 3 Baskets- Graphite,50,0,0,0,0
Set Of 3 Baskets- Red Earth,143,0,0,0,0
Set Of 3 Baskets- Stone,144,0,0,0,0
Set Of 3 Baskets- Ted Earth,67,0,0,0,0
Sterling Grey Velvet Knot Pillow,772,0,0,0,0
Sterling Grey Velvet Knot Pillow,52,0,0,0,0
"Sterling Grey Velvet Woven Bench 37""",0,0,0,0,0
"Sterling Grey Velvet Woven Bench 37""",52,0,0,0,0
"Sterling Grey Velvet Woven Bench 47""",26,0,0,0,0
"Sterling Grey Velvet Woven Bench 47""",0,0,0,0,0
Sterling Grey Velvet Woven Stool,50,0,0,0,0
Sterling Grey Velvet Woven Stool,0,0,0,0,0
Truffle Velvet Knot Pillow,0,0,0,0,0
Truffle Velvet Knot Pillow,135,0,0,0,0
Truffle Velvet Knot Pillow,243,0,0,0,0
"Truffle Velvet Woven Bench 37""",63,0,0,0,0
"Truffle Velvet Woven Bench 37""",0,0,0,0,0
"Truffle Velvet Woven Bench 47""",189,0,0,0,0
"Truffle Velvet Woven Bench 47""",0,0,0,0,0
Truffle Velvet Woven Stool,0,0,0,0,0
Truffle Velvet Woven Stool,0,0,0,0,0
