Pair,Handle,Title,Category,GMC Impressions (28d),GMC Clicks (28d),Group
1,l-hull-basket-in-graphite-ultra-suede-copy,(L) Hull Basket in Graphite Ultra suede,Hull Basket,0,0,TEST
1,l-hull-basket-in-cobalt-ultra-suede,(L) Hull Basket in Cobalt Ultra suede,Hull Basket,0,0,CONTROL
2,s-hull-basket-in-cobalt-ultra-suede,(S) Hull Basket in Cobalt Ultra suede,Hull Basket,0,0,TEST
2,m-hull-basket-in-red-earth-ultra-suede-copy-copy,(S) Hull Basket in Red Earth Ultra suede,Hull Basket,0,0,CONTROL
3,truffle-velvet-woven-stool,Truffle Velvet Woven Stool,Woven Stool,0,0,TEST
3,ivory-velvet-woven-stool,Ivory Velvet Woven Stool,Woven Stool,0,0,CONTROL
